Rank,Candidate_ID,CE,Bi_Norm,BVS,Coverage,Density,Smart_Multiplier,Final
1,CAND_0018499,0.9851,0.9035,0.8638,0.0436,0.0527,0.9688,0.6723
2,CAND_0077337,0.9624,0.9334,0.8162,0.0477,0.0520,0.9727,0.6670
3,CAND_0044855,0.9665,0.7999,0.8377,0.0482,0.0538,0.9746,0.6653
4,CAND_0088025,0.9130,0.9639,0.8099,0.0497,0.0541,0.9767,0.6563
5,CAND_0008425,0.9999,0.9854,0.8801,0.0508,0.0563,0.9801,0.6522
6,CAND_0039754,0.9999,1.0000,0.8429,0.0510,0.0569,0.9810,0.6504
7,CAND_0007412,0.8968,0.7816,0.8820,0.0476,0.0526,0.9730,0.6492
8,CAND_0046525,0.9319,0.8787,0.8362,0.0500,0.0545,0.9773,0.6398
9,CAND_0046064,0.9871,0.9609,0.8368,0.0514,0.0567,0.9813,0.6357
10,CAND_0080766,0.9157,0.9129,0.8139,0.0438,0.0512,0.9678,0.6261
11,CAND_0011687,0.9195,0.8500,0.8753,0.0509,0.0555,0.9793,0.6252
12,CAND_0005260,0.9999,0.8288,0.8877,0.0492,0.0560,0.9778,0.6225
13,CAND_0002025,0.9380,0.8069,0.8983,0.0450,0.0538,0.9712,0.6214
14,CAND_0057563,0.9918,0.8762,0.8297,0.0482,0.0543,0.9750,0.6212
15,CAND_0010685,0.8561,0.8938,0.8765,0.0457,0.0522,0.9706,0.6181
16,CAND_0030953,0.9921,0.8506,0.8509,0.0509,0.0547,0.9786,0.6181
17,CAND_0081846,0.9999,0.8817,0.8133,0.0507,0.0567,0.9803,0.6123
18,CAND_0071974,0.8971,0.8846,0.8198,0.0485,0.0539,0.9751,0.6118
19,CAND_0086151,0.9999,0.8530,0.8111,0.0495,0.0558,0.9780,0.6062
20,CAND_0086022,0.8881,0.8221,0.8111,0.0460,0.0501,0.9695,0.6041
